Ana Almeida Lima;73108342592;1142.04;2203.85;9068.34
Carlos Ferreira Oliveira;83834526320;1142.04;1273.48;6615.55
Carlos Santos Santos;96343107614;380.7;39.94;2751.82
Lucas Ribeiro Carvalho;03899630203;1142.04;1557.27;7363.71
Maria Souza Ferreira;98307271061;1142.04;1248.27;6549.07
Ricardo Silva Almeida;61887114602;710.67;319.47;4046.06
Luiz Carvalho Pereira;27654959982;1142.04;2462.91;9751.31
Maria Silva Lima;14507041406;1142.04;1154.24;6301.18
Ricardo Gomes Rodrigues;60541484788;1142.04;1737.41;7838.62
Rafael Oliveira Rodrigues;50312481578;1142.04;2160.15;8953.12
Luiz Almeida Silva;21011404893;1142.04;1677.09;7679.6
Lucas Silva Fernandes;40252717538;937.26;687.3;5070.16
Carlos Soares Alves;58018761973;412.77;72.6;2954.34
Marcos Gomes Pereira;23458930019;1142.04;1379.8;6895.85
Carlos Barbosa Soares;82057394638;1142.04;2666.68;10288.51
José Souza Ribeiro;22833717598;1142.04;2646.09;10234.23
Larissa Rodrigues Vieira;57650545288;1026.6;838.22;5468.04
Juliana Santos Ferreira;80561555893;1142.04;1621.48;7532.99
Fernanda Gomes Costa;76098831076;791.08;440.35;4419.11
Larissa Almeida Silva;99597540495;1142.04;2853.11;10780.01
Ricardo Lima Pereira;12863380184;1084.41;935.89;5725.52
João Barbosa Pereira;33705015974;430.86;92.51;3067.15
Rafael Santos Costa;25558636645;893.0;612.54;4873.06
Beatriz Lopes Lopes;77209420860;380.32;39.74;2749.29
Marcos Ribeiro Pereira;13153739552;460.14;124.71;3249.64
Carlos Souza Gomes;51075305675;1142.04;2689.47;10348.61
Ana Fernandes Santos;40495107743;1142.04;1111.37;6188.15
Rafael Martins Almeida;46854368227;975.62;752.09;5240.97
Juliana Pereira Rodrigues;23408526842;1142.04;1595.53;7464.58
Amanda Lopes Gomes;37527537736;1142.04;2818.8;10689.57
Carlos Carvalho Alves;51750944405;469.67;135.19;3309.03
Pedro Lima Santos;57330766151;1142.04;1990.71;8506.42
Pedro Silva Fernandes;32918163074;1142.04;1111.58;6188.72
Paula Souza Barbosa;75228187960;1142.04;2741.37;10485.42
Ricardo Lopes Carvalho;09513803465;1142.04;1692.5;7720.22
Maria Soares Lopes;06991858153;364.56;31.07;2642.37
Amanda Ribeiro Costa;57435774634;1033.31;849.55;5497.92
Pedro Lima Alves;11064833756;738.11;357.41;4176.71
Lucas Pereira Lopes;31357250576;681.58;279.27;3907.57
Ricardo Santos Souza;19511965549;459.44;123.95;3245.29
Larissa Fernandes Rodrigues;13581662930;830.56;507.06;4594.98
Juliana Gomes Barbosa;34717457188;841.22;525.06;4642.43
Gabriel Lopes Soares;00087260000;1142.04;2762.91;10542.23
Ricardo Ribeiro Soares;65291243651;778.98;419.92;4365.25
Marcos Silva Vieira;88859460204;733.43;350.93;4154.4
José Soares Costa;83669478663;1142.04;1922.7;8327.11
Juliana Soares Silva;92157075062;1142.04;1161.73;6320.92
Gabriel Souza Soares;55231120545;597.05;168.69;3498.87
Pedro Lopes Vieira;96343619356;1043.88;867.42;5545.02
Ricardo Martins Pereira;74016873720;1142.04;2235.92;9152.87
