50;Amanda Ferreira;11543903657;OUTROS;50
49;Carlos Souza;62441881957;OUTROS;49
48;Camila Santos;98707630573;OUTROS;48
47;Camila Santos;35086481929;FILHO;47
46;José Alves;29814019712;FILHO;46
44;Larissa Vieira;25676640251;OUTROS;44
43;João Gomes;73310406857;OUTROS;43
42;Ricardo Ferreira;00384579035;OUTROS;42
41;Luiz Vieira;96953144653;FILHO;41
40;José Souza;29848687068;FILHO;40
39;Ricardo Silva;59884308055;OUTROS;39
38;Luiz Gomes;25641146870;OUTROS;38
37;Bruna Lima;03039977105;FILHO;37
36;Gabriel Vieira;78611721632;FILHO;36
34;Bruna Soares;82324881829;OUTROS;34
33;Marcos Rodrigues;86042960342;OUTROS;33
32;Marcos Souza;02955765708;OUTROS;32
30;José Oliveira;70727399985;OUTROS;30
29;Amanda Costa;75833057728;FILHO;29
28;Maria Costa;69758470701;OUTROS;28
27;Maria Lopes;09972340163;OUTROS;27
24;Pedro Costa;21907843957;OUTROS;24
22;Lucas Souza;31713835860;OUTROS;22
20;João Rodrigues;47728569007;FILHO;20
19;Marcos Pereira;95637840903;OUTROS;19
17;Maria Lima;04928647050;OUTROS;17
16;João Rodrigues;50354491814;OUTROS;16
14;Bruna Souza;64635265250;FILHO;14
13;Juliana Vieira;20601796292;OUTROS;13
9;Rafael Almeida;34468381396;FILHO;9
8;Bruna Ribeiro;75498065000;FILHO;8
7;Gabriel Gomes;99942952411;FILHO;7
6;Ricardo Gomes;50351421408;OUTROS;6
5;José Alves;73700321678;FILHO;5
4;Bruna Ribeiro;70438478428;OUTROS;4
3;Luiz Souza;04641305064;FILHO;3
2;Luiz Lima;63513142757;FILHO;2
1;Carlos Pereira;51914255704;OUTROS;1
