182;Ana Almeida Lima;73108342592;1965-09-19;12414.23
181;Carlos Ferreira Oliveira;83834526320;1969-03-04;9031.07
180;Carlos Santos Santos;96343107614;1987-06-22;3172.46
179;Lucas Ribeiro Carvalho;03899630203;1985-08-20;10063.01
178;Maria Souza Ferreira;98307271061;1965-08-31;8939.37
177;Ricardo Silva Almeida;61887114602;2000-11-11;5076.2
176;Luiz Carvalho Pereira;27654959982;1965-01-04;13356.26
175;Maria Silva Lima;14507041406;1972-03-12;8597.46
174;Ricardo Gomes Rodrigues;60541484788;1998-04-13;10718.07
173;Rafael Oliveira Rodrigues;50312481578;1975-07-10;12255.3
172;Luiz Almeida Silva;21011404893;2003-01-05;10498.73
171;Lucas Silva Fernandes;40252717538;1983-12-25;6694.73
170;Carlos Soares Alves;58018761973;1966-10-01;3439.71
169;Marcos Gomes Pereira;23458930019;1982-12-27;9417.69
168;Carlos Barbosa Soares;82057394638;2004-11-11;14097.22
167;José Souza Ribeiro;22833717598;1961-09-14;14022.36
166;Larissa Rodrigues Vieira;57650545288;1973-11-05;7332.86
165;Juliana Santos Ferreira;80561555893;1983-12-04;10296.5
164;Fernanda Gomes Costa;76098831076;1992-07-18;5650.54
163;Larissa Almeida Silva;99597540495;1979-04-01;14775.16
162;Ricardo Lima Pereira;12863380184;1985-01-13;7745.82
161;João Barbosa Pereira;33705015974;1995-04-19;3590.52
160;Rafael Santos Costa;25558636645;2001-11-26;6378.6
159;Beatriz Lopes Lopes;77209420860;1973-08-11;3169.35
158;Marcos Ribeiro Pereira;13153739552;1962-07-31;3834.49
157;Carlos Souza Gomes;51075305675;1985-04-04;14180.12
156;Ana Fernandes Santos;40495107743;1996-10-27;8441.56
155;Rafael Martins Almeida;46854368227;1964-10-29;6968.68
154;Juliana Pereira Rodrigues;23408526842;1990-07-14;10202.15
153;Amanda Lopes Gomes;37527537736;1973-10-25;14650.41
152;Carlos Carvalho Alves;51750944405;1963-03-13;3913.89
151;Pedro Lima Santos;57330766151;1974-07-21;11639.17
150;Pedro Silva Fernandes;32918163074;2004-04-21;8442.34
149;Paula Souza Barbosa;75228187960;1980-06-10;14368.83
148;Ricardo Lopes Carvalho;09513803465;1996-01-25;10554.75
147;Maria Soares Lopes;06991858153;1964-08-03;3038.0
146;Amanda Ribeiro Costa;57435774634;1997-07-02;7380.78
145;Pedro Lima Alves;11064833756;1968-07-17;5272.23
144;Lucas Pereira Lopes;31357250576;1969-05-19;4868.41
143;Ricardo Santos Souza;19511965549;1988-01-17;3828.68
142;Larissa Fernandes Rodrigues;13581662930;1970-08-20;5932.6
141;Juliana Gomes Barbosa;34717457188;1994-12-26;6008.71
140;Gabriel Lopes Soares;00087260000;1990-06-26;14447.18
139;Ricardo Ribeiro Soares;65291243651;1980-09-29;5564.16
138;Marcos Silva Vieira;88859460204;2004-02-03;5238.76
137;José Soares Costa;83669478663;1963-10-04;11391.84
136;Juliana Soares Silva;92157075062;1963-02-17;8624.69
135;Gabriel Souza Soares;55231120545;2004-10-21;4264.61
134;Pedro Lopes Vieira;96343619356;1986-05-14;7456.32
133;Ricardo Martins Pereira;74016873720;1992-08-29;12530.83
132;Bruno Martins;78684378658;1996-04-30;13264.92
131;Helena Teixeira;14410682818;1975-04-11;2635.02
130;Ursula Costa;31519650818;1974-09-12;2054.36
129;Yara Martins;30140249668;1967-05-03;11688.93
128;Daniela Oliveira;00019027385;1988-10-05;4204.97
127;Sandra Pereira;28456173675;1975-04-05;10663.93
