Ana Almeida Lima;73108342592;951.62;2256.22;9206.39
Carlos Ferreira Oliveira;83834526320;951.62;1325.85;6753.6
Carlos Santos Santos;96343107614;274.1;53.31;2845.05
Lucas Ribeiro Carvalho;03899630203;951.62;1609.63;7501.76
Maria Souza Ferreira;98307271061;951.62;1300.63;6687.12
Ricardo Silva Almeida;61887114602;520.25;362.32;4193.63
Luiz Carvalho Pereira;27654959982;951.62;2515.28;9889.37
Maria Silva Lima;14507041406;951.62;1206.61;6439.24
Ricardo Gomes Rodrigues;60541484788;951.62;1789.77;7976.68
Rafael Oliveira Rodrigues;50312481578;951.62;2212.51;9091.17
Luiz Almeida Silva;21011404893;951.62;1729.46;7817.66
Lucas Silva Fernandes;40252717538;746.84;739.67;5208.22
Carlos Soares Alves;58018761973;306.17;88.59;3044.95
Marcos Gomes Pereira;23458930019;951.62;1432.17;7033.9
Carlos Barbosa Soares;82057394638;951.62;2719.04;10426.56
José Souza Ribeiro;22833717598;951.62;2698.45;10372.29
Larissa Rodrigues Vieira;57650545288;836.18;890.59;5606.09
Juliana Santos Ferreira;80561555893;951.62;1673.84;7671.04
Fernanda Gomes Costa;76098831076;600.66;492.72;4557.17
Larissa Almeida Silva;99597540495;951.62;2905.47;10918.07
Ricardo Lima Pereira;12863380184;893.99;988.25;5863.57
João Barbosa Pereira;33705015974;324.26;108.5;3157.76
Rafael Santos Costa;25558636645;702.58;664.9;5011.11
Beatriz Lopes Lopes;77209420860;273.72;52.9;2842.72
Marcos Ribeiro Pereira;13153739552;353.54;140.7;3340.25
Carlos Souza Gomes;51075305675;951.62;2741.84;10486.66
Ana Fernandes Santos;40495107743;951.62;1163.73;6326.21
Rafael Martins Almeida;46854368227;785.2;804.46;5379.03
Juliana Pereira Rodrigues;23408526842;951.62;1647.9;7602.64
Amanda Lopes Gomes;37527537736;951.62;2871.17;10827.62
Carlos Carvalho Alves;51750944405;363.07;151.18;3399.64
Pedro Lima Santos;57330766151;951.62;2043.08;8644.48
Pedro Silva Fernandes;32918163074;951.62;1163.95;6326.77
Paula Souza Barbosa;75228187960;951.62;2793.73;10623.48
Ricardo Lopes Carvalho;09513803465;951.62;1744.86;7858.27
Maria Soares Lopes;06991858153;257.96;39.06;2740.98
Amanda Ribeiro Costa;57435774634;842.89;901.92;5635.97
Pedro Lima Alves;11064833756;547.69;403.25;4321.29
Lucas Pereira Lopes;31357250576;491.16;322.11;4055.14
Ricardo Santos Souza;19511965549;352.84;139.94;3335.9
Larissa Fernandes Rodrigues;13581662930;640.14;559.43;4733.03
Juliana Gomes Barbosa;34717457188;650.8;577.43;4780.49
Gabriel Lopes Soares;00087260000;951.62;2815.28;10680.28
Ricardo Ribeiro Soares;65291243651;588.56;472.29;4503.31
Marcos Silva Vieira;88859460204;543.01;395.33;4300.42
José Soares Costa;83669478663;951.62;1975.06;8465.16
Juliana Soares Silva;92157075062;951.62;1214.09;6458.98
Gabriel Souza Soares;55231120545;406.63;205.28;3652.71
Pedro Lopes Vieira;96343619356;853.46;919.79;5683.07
Ricardo Martins Pereira;74016873720;951.62;2288.28;9290.93
Bruno Martins;78684378658;951.62;2490.16;9823.14
Helena Teixeira;14410682818;214.38;12.11;2408.53
Ursula Costa;31519650818;162.12;0.0;1892.24
Yara Martins;30140249668;951.62;2056.76;8680.55
Daniela Oliveira;00019027385;398.28;193.74;3612.96
Sandra Pereira;28456173675;951.62;1774.89;7937.43
Otavio Lima;60679226889;203.08;3.54;2302.81
Zeca Silva;01270465588;886.04;974.81;5828.14
Zeca Ferreira;26703362441;951.62;1181.4;6372.79
Kevin Teixeira;79156733395;951.62;2707.59;10396.37
Julia Teixeira;16109540553;437.77;248.33;3801.0
Vinicius Gomes;49973045668;951.62;1181.88;6374.04
Helena Costa;28426527954;584.91;466.12;4487.05
Ursula Silva;48741044806;951.62;1634.14;7566.36
Ricardo Silva;09401011189;951.62;2787.45;10606.91
Daniela Santos;60932741843;181.24;0.0;2085.53
Eduardo Alves;22175096282;804.97;837.86;5467.08
Sandra Ferreira;02921135275;951.62;2597.72;10106.73
Gabriel Silva;16910099258;853.5;919.84;5683.23
Paula Lima;93483940385;951.62;1321.69;6742.63
Igor Ferreira;75561892202;951.62;2394.6;9571.23
Kevin Pereira;91346668148;951.62;2339.44;9425.79
Marcos Carvalho;24874937332;197.86;0.0;2253.58
Bruno Rodrigues;89528316246;719.23;693.02;5085.23
Igor Silva;89953769569;951.62;1200.08;6422.02
Igor Rodrigues;90768132477;951.62;2251.07;9192.83
Otavio Santos;94057337437;951.62;1575.42;7411.56
Larissa Pereira;10960190052;446.23;260.02;3841.25
Daniela Ferreira;71324290298;664.96;601.35;4843.55
Sandra Carvalho;54863643223;951.62;1931.6;8350.58
Bruno Teixeira;73101805778;656.51;587.07;4805.92
